periodo,Producto bruto interno y demanda interna (índice 2007=100) - PBI,Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - Índice de Precios al Consumidor (IPC),Tipo de cambio - promedio del periodo (S/ por US$) - Bancario - Promedio,Expectativas Macroeconómicas - Expectativa de TC a 12 meses,Exportaciones por Departamento (Valores FOB en millones de US$) - Amazonas,Exportaciones por Departamento (Valores FOB en millones de US$) - Ancash,Exportaciones por Departamento (Valores FOB en millones de US$) - Apurimac,Exportaciones por Departamento (Valores FOB en millones de US$) - Arequipa,Exportaciones por Departamento (Valores FOB en millones de US$) - Ayacucho,Exportaciones por Departamento (Valores FOB en millones de US$) - Cajamarca,Exportaciones por Departamento (Valores FOB en millones de US$) - Callao
Jan.2020,161.792628951275,92.1895712817569,3.32736363636364,3.34979166666667,0.94304752,311.08497825,226.38087667,321.08217432,50.31860672,121.8653631,180.39175631
Feb.2020,160.855800722568,92.3206390707161,3.39035,3.37083333333333,0.45359779,300.74208771,133.56867211,301.39164997,62.60641886,113.6089537,175.51699614
Mar.2020,137.328875245188,92.9170303880033,3.49136363636364,3.41,0.42307901,300.03963062,143.55528311,244.25710799,94.35857944,76.0972077,124.92148494
Apr.2020,103.256848999759,93.0142055130683,3.3975,3.38916666666667,0.70511742,182.54239489,2.30714621,134.07665929,35.91634931,86.77111664,88.2053616
May.2020,118.28819558614,93.204097335048,3.42115,3.39270833333333,1.30471507,45.02755337,95.67712655,237.8304521,12.11099902,68.17142481,71.37836024
Jun.2020,139.33801744899,92.9560841633195,3.47016666666667,3.4325,1.19782592,228.44662342,248.51514837,292.50607071,46.25200947,148.36656147,95.78412752
Jul.2020,153.762994699039,93.3861811793687,3.51656818181818,3.44041666666667,3.30668079,344.16819371,189.7919759,301.04728268,49.12716585,104.62012541,194.48656512
Aug.2020,156.724587155803,93.2832332195989,3.56392857142857,3.46083333333333,6.55847085,399.49315371,27.5860024,293.28238443,61.10526938,187.02466138,227.16543079
Sep.2020,161.866810759322,93.4104286127018,3.55490909090909,3.4625,6.75661979,390.07789507,289.83605667,415.95703277,73.13575127,209.10679281,280.59475537
Oct.2020,170.555237217205,93.4260987274024,3.59561363636364,3.48083333333333,10.14283009,433.74871093,280.58842529,414.74102713,105.03692423,188.17891694,233.172171
Nov.2020,170.489577153081,93.9123624949692,3.6077619047619,3.4871875,4.08628184,422.4783858,266.66137815,344.48307661,71.18629575,105.30874373,203.49148097
Dec.2020,191.49983754064,93.9581285619732,3.60261904761905,3.5025,5.03664644,532.72917405,147.36802054,470.10742717,60.79366035,172.30329543,337.64528178
Jan.2021,160.54682570835,94.6561451002628,3.624575,3.496875,,,,,,,
Feb.2021,155.30627559764,94.5375735473133,3.645275,3.52125,,,,,,,
Mar.2021,164.849581844324,95.3311869507106,3.70815217391304,3.538125,,,,,,,
Apr.2021,164.436532032117,95.2313830125361,3.69945,3.56666666666667,,,,,,,
May.2021,175.504195791157,95.4852294275117,3.77354761904762,3.60416666666667,,,,,,,
Jun.2021,172.639803619299,95.9814390796482,3.91030952380952,3.8,,,,,,,
Jul.2021,173.706055111505,96.948489573628,3.94005,3.959375,,,,,,,
Aug.2021,175.249433357619,97.9033694822447,4.08619047619048,4.11666666666667,,,,,,,
Sep.2021,178.31247873247,98.2953966184284,4.10747727272727,4.208125,,,,,,,
Oct.2021,178.895388317127,98.8691125131803,4.01505,4.11875,,,,,,,
Nov.2021,176.78064255003,99.2232454403164,4.01959523809524,4.150625,,,,,,,
Dec.2021,195.119184470159,100.0,4.03697727272727,4.125,,,,,,,
Jan.2022,165.170574288751,100.0373268,3.88928571428572,4.00229166666667,,,,,,,
Feb.2022,162.885221846804,100.34884,3.7908,3.89833333333333,,,,,,,
Mar.2022,171.097380996224,101.836672,3.73878260869565,3.8125,,,,,,,
Apr.2022,170.499798602932,102.816232,3.73973684210526,3.84166666666667,,,,,,,
